	title	summary	category	date_time	src	rank	meta_rank
37	Apple releases iOS 12.5.1 for older iPhones with bug fix for COVID-19 exposure notifications	Apple has released iOS 12.5.1 for older iPhones and iPads today, roughly one month after the release of iOS 12.5. The update includes bug fixes for the ...		2021-01-11 18:15:06	google	6	38
38	Apple's iPhone 12 'supercycle' may be happening after all, new data shows	Angela Lang/CNET		2020-12-22 18:28:00	google	7	39
39	Apple starts allowing third-parties to join the Find My app ahead of 'AirTags' launch	After being touted as part of iOS 14, the first accessories to integrate into Apple's Find My app have started to be announced during CES 2021.		2021-01-11 18:32:45	google	8	40
40	Signal becomes most downloaded app as privacy concerns dog WhatsApp	WhatsApp seeks the right to share user data like location and phone number with Facebook and Instagram as part of the new privacy terms.		2021-01-12 06:49:45	google	9	41
41	Apple Wins a Patent for Possible next-gen iPhone case with integrated AirPods that are inductively Charged	In October Apple released the iPhone 12 Silicon case with MagSafe. Today the U.S. Patent and Trademark Office officially granted Apple a patent for possible ...		2021-01-12 13:09:05	google	10	42
42	While Apple Loses Copyright Claims against 'Virtual iPhone' maker Corellium, the company may have violated the Copyright Act (DMCA)	"It's being reported today that lost its copyright claims against Florida company Corellium that makes ""virtual iPhones"" used by security researchers to test for ..."		2020-12-29 08:00:00	google	24	43
43	‘Among Us’ led the most downloaded mobile games ranking in December 2020	A new research from AppFigures shows that Among Us was the most downloaded mobile game during the Holidays in December 2020.		2021-01-11 23:02:58	google	11	44
44	‘Tough Apple’: Man's phone survives fall from plane, records the entire thing [WATCH]	You feel your heart skipping a beat whenever you drop your phone on the floor. And if your luck is too bad, you might need a display replacement or a new ...		2020-12-16 08:00:00	google	13	45
45	Widgetsmith for iOS updated with new health and fitness widgets for your iPhone’s home screen	Widgetsmith continues to add new ways to customize your iOS 14 home screen. A new update to the app today brings a new collection of health-focused ...		2021-01-11 20:51:25	google	14	46
46	Intel unveiles new 'Alder Lake' chips that emulate Apple's ARM designs	"Intel during CES 2021 showed off its next-generation Alder Lake family of chips, which it says offers a ""significant breakthrough"" for the x86 architecture."		2021-01-11 23:18:29	google	15	47
47	User successfully runs Ubuntu on a jailbroken iPhone 7	The jailbreak process lets users run several tweaks and other iOS modifications, but one user recently decided to go further and install the Ubuntu operating ...		2021-01-12 01:24:44	google	16	48
48	Kuo: Apple iPhone 13 series on schedule for September 2021 unveil - GSMArena.com news	Apple has sorted its pandemic-induced supply and manufacturing issues for next year.		2020-12-14 08:00:00	google	17	49
49	Apple Fitness+: The next era of fitness is here, and everyone's invited	Apple Fitness+ is now available, bringing inclusive, welcoming studio workouts to iPhone, iPad, and Apple TV so users can work out anytime, anywhere.		2020-12-14 08:00:00	google	18	50
50	Apple Investigates iPhone Facility Near Bengaluru After Violence By Workers	Apple Inc has said it will probe the violence that broke out on Saturday at a factory that produces iPhone near Bengaluru. Tthe US firm has said it is investigating ...		2020-12-14 09:31:16	google	19	51
51	Apple Car on its way with in-house battery; may launch in 2024	Apple Inc is reportedly working on self-driving car technology and is targeting 2024 to produce a car or vehicle for consumers.		2020-12-22 13:38:03	google	20	52
52	Allegedly Leaked 2021 iPad Pro CAD Images Suggest Few Design Changes	Tech blogs 91mobile and MySmartPrice on Tuesday posted a series of allegedly leaked factory CAD images of Apple's upcoming fifth-generation 11-inch iPad ...		2021-01-12 11:38:04	google	21	53
53	Apple iPhone SE 2020 review: everything you need	Apple's new iPhone SE for 2020 has a 4.7-inch screen, a 12-megapixel camera, and it costs only $399. It's one of the best values in smartphones today, ...		2020-04-22 07:00:00	google	49	54
54	PopSockets are going MagSafe	PopSockets has announced that it will be bringing Apple's MagSafe technology to its line of phone grips, wallets, and mounts. The new accessories should allow ...		2021-01-11 23:01:45	google	12	55
55	Apple's vendors, Samsung, others to boost India's phone manufacturing scheme, says Govt: Highlights	Among these companies, iPhone maker Apple's contract manufacturers as well as Samsung, Lava, Dixon and so forth, have lined up with proposals.Prasad said ...		2020-08-01 11:37:50	google	50	56
